INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (44, 22, 2, 262.62, 525.24, '2025-01-01');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (50, 28, 1, 1212.62, 1212.62, '2025-01-10');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (26, 20, 4, 1975.53, 7902.12, '2025-02-20');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (23, 23, 3, 797.15, 2391.45, '2025-01-06');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (33, 5, 5, 1161.38, 5806.90, '2025-03-03');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (7, 19, 2, 1632.97, 3265.94, '2025-03-20');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (32, 7, 5, 1110.33, 5551.65, '2025-02-13');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (28, 1, 3, 1471.47, 4414.41, '2025-03-30');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (16, 12, 4, 1090.06, 4360.24, '2025-01-18');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (14, 13, 3, 1800.61, 5401.83, '2025-02-10');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (35, 16, 1, 1284.30, 1284.30, '2025-01-29');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (24, 14, 4, 1154.53, 4618.12, '2025-03-26');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (41, 4, 1, 1634.31, 1634.31, '2025-02-14');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (12, 10, 2, 1437.25, 2874.50, '2025-02-22');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (6, 6, 5, 1718.01, 8590.05, '2025-01-03');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (10, 21, 5, 1053.69, 5268.45, '2025-01-09');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (38, 11, 4, 1125.49, 4501.96, '2025-03-07');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (29, 6, 1, 1701.20, 1701.20, '2025-02-06');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (13, 2, 1, 1471.99, 1471.99, '2025-03-02');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (42, 9, 2, 927.83, 1855.66, '2025-02-18');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (4, 3, 4, 1411.80, 5647.20, '2025-03-16');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (40, 8, 3, 1600.87, 4802.61, '2025-01-05');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (17, 20, 1, 1566.15, 1566.15, '2025-02-12');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (18, 28, 4, 1213.11, 4852.44, '2025-01-07');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (48, 17, 5, 1689.43, 8447.15, '2025-03-19');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (47, 22, 4, 1632.09, 6528.36, '2025-02-24');
